S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
美国从世界其他地区净赚取360亿美元左右的金融收入，这是由此前投资在国外的资本产生的。,在此之前的1982年，美国从世界其他地区净赚取360亿美元左右的金融收入，这是由此前投资在国外的资本产生的。,"The United States earns a net financial income of about $36 billion from the rest of the world, generated by capital previously invested abroad.","Prior to that, in 1982, the United States earned a net financial income of about $36 billion from the rest of the world, generated by capital previously invested abroad.",0,,
就像查尔斯·达尔文首先描述的，是对那些最适合生存，尤其是，在已有的条件下制造后代的物种的选择。,其必然的结果，就像查尔斯·达尔文首先描述的，是对那些最适合生存，尤其是，在已有的条件下制造后代的物种的选择。,"As Charles Darwin first described, it was the selection of species that were best suited to survive, and in particular, to create offspring under existing conditions.","The inevitable result, as Charles Darwin first described, is the selection of species that are best suited to survive, especially to produce offspring under existing conditions.",0,,
那时企业被认为是威胁，一个原因就是因为这些公司对资产实行垄断，而这些资产对很多美国大众来说是至关重要的。,那时大型企业被认为是威胁，一个原因就是因为这些公司对资产实行垄断，而这些资产对很多美国大众来说是至关重要的。,"At that time, corporations were considered a threat, in part because they had a monopoly on assets that were vital to many Americans.",Big business was considered a threat in part because they had a monopoly on assets that were vital to much of the American public.,1,At that time,
印度可以在不用承担不必要风险的情况下做很多事情，以拉詹为首的委员会在几年前便给出了详细的计划。,尽管如此，印度可以在不用承担不必要风险的情况下做很多事情，以拉詹为首的委员会在几年前便给出了详细的计划。,"India can do a lot without taking unnecessary risks, and the committee headed by Rajan gave a detailed plan several years ago.","Still, India can do a lot without taking unnecessary risks, and the committee headed by Rajan gave a detailed plan several years ago.",0,,
瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,Swiss voters rejected an overwhelming 77 percent to 23 percent proposal to give every citizen an unconditional basic income.,"On June 5, Swiss voters rejected an overwhelming 77% to 23% proposal to distribute an unconditional basic income to every citizen.",0,,
美国组建了自二战以来最为强大的国际联合部队，并且在一场完全合法的战争中率领这一部队。,在1991年，美国组建了自二战以来最为强大的国际联合部队，并且在一场完全合法的战争中率领这一部队。,The United States has assembled the most powerful joint international force since World War II and is leading it in a perfectly legitimate war.,"In 1991, the United States formed the most powerful joint international force since World War II and led it in a perfectly legitimate war.",0,,
在1968年5月革命过去39年后，法国人渴望的是工作，这一点萨尔科齐看得比如何人都要清楚。,在1968年5月革命过去39年后，法国人渴望的是工作，而不是爱情，这一点萨尔科齐看得比如何人都要清楚。,"Thirty-nine years after the May 1968 revolution, the French yearn for work, and Sarkozy sees this better than anyone.","Thirty-nine years after the May 1968 revolution, the French yearn for work, not love, as Sarkozy sees better than anyone.",0,,
与超级大国结盟永远是不平等的，因此，从长期看，与美国建立紧密关系的努力对于印度的战略自主传统不利。,顾名思义，与超级大国结盟永远是不平等的，因此，从长期看，与美国建立紧密关系的努力对于印度的战略自主传统不利。,"Alignments with superpowers will always be unequal, so efforts to forge closer ties with the United States are detrimental to India's tradition of strategic autonomy in the long run.","By definition, alliances with superpowers will always be unequal, so efforts to forge closer ties with the United States are detrimental to India's tradition of strategic autonomy in the long run.",0,,
随着里约+20签署协议的落实，全球社会应当在今后20年为促进地方、全国的可持续发展采取更大胆的行动。,随着里约+20签署协议的落实，全球社会应当在今后20年为促进地方、全国和国际层面的可持续发展采取更大胆的行动。,"With the implementation of the Rio+20 agreement, the global community should take bolder actions over the next 20 years to promote sustainable development at the local and national levels.","With the implementation of the Rio+20 agreement, the global community should take bolder actions over the next 20 years to promote sustainable development at the local, national and international levels.",0,,
重要的政治领袖，特别是两个核大国的政治领袖，对今天已有的风险以及明天即将出现的风险有着清楚的认识。,重要的政治领袖，特别是美俄两个核大国的政治领袖，对今天已有的风险以及明天即将出现的风险有着清楚的认识。,"Important political leaders, especially those of the two nuclear Powers, have a clear understanding of the risks that exist today and those that will arise tomorrow.","Important political leaders, especially those of the two nuclear powers of the United States and Russia, have a clear understanding of the risks that exist today and those that will arise tomorrow.",0,,
通过理解并从世界各地引进创新，非洲能够在技术上赶超更加发达的国家，构建生产更先进、价值更高的商品的能力。,通过理解并从世界各地引进有效的创新，非洲能够在技术上赶超更加发达的国家，构建生产更先进、价值更高的商品的能力。,"By understanding and bringing in innovations from around the world, Africa can catch up technologically with more developed countries and build the capacity to produce more advanced and higher-value goods.","By understanding and introducing effective innovations from around the world, Africa can catch up technologically with more developed countries and build the capacity to produce more advanced and higher-value goods.",0,,
这一单位只不过是一个消费者物价指数，名称简单，每天公布，这样人们就可以使用这一单位来以实际价格报价。,这一单位只不过是一个消费者物价指数，名称简单，每天公布，这样人们就可以使用这一单位及名称来以实际价格报价。,"This unit is nothing more than a consumer price index, with a simple name, published daily so that people can use the unit to quote at real prices.","This unit is nothing more than a consumer price index, with a simple name, published daily so that people can use the unit and its name to quote at real prices.",0,,
在朝鲜，许多在别的国家最普通的国是，在朝鲜都不容他人染指，特别是身上没有金饰血统的人染指。,换句话说，在朝鲜，许多在别的国家最普通的国是，在朝鲜都不容他人染指，特别是身上没有金饰血统的人染指。,"In North Korea, many of the most common in other countries, no one else is allowed to interfere in North Korea, especially those who do not have gold ornament blood.","In other words, in North Korea, many of the most common in other countries, no one else is allowed to interfere with North Korea, especially those who do not have gold ornament blood.",0,,
当一个国家专门从事于某一个领域之时，资本就会比其他领域更快地流向这一领域。,当一个国家专门从事于某一个领域之时，资本和劳力就会比其他领域更快地流向这一领域。,"When a country specializes in one area, capital flows to that area faster than others.","When a country specializes in one area, capital and labor flow to that area more quickly than others.",0,,
如果，监管只能适用于年景好的时候，而年景糟糕的时候则由各国的纳税人买单，这个系统必定失败。,如果，在欧洲层面的监管只能适用于年景好的时候，而年景糟糕的时候则由各国的纳税人买单，这个系统必定失败。,"If regulation can only be applied in good times, and taxpayers in various countries pay for bad times, the system is bound to fail.","If regulation at the European level can only be applied in good times and taxpayers in bad times are paid for by countries, the system is bound to fail.",1,various,
如果我们还需要提醒的话，那么，这一事件让我们回想起来2001年9月11日对纽约的恐怖主义袭击。,如果我们还需要提醒的话，那么，这一事件让我们回想起来2001年9月11日对纽约和华盛顿的恐怖主义袭击。,"If we need to be reminded, this incident reminds us of the terrorist attacks on New York on 11 September 2001.","If we need to be reminded, this incident reminds us of the terrorist attacks on New York and Washington on 11 September 2001.",0,,
如果科技创新现在能在短短的几年或者几个月内改变主要的产业，长期投资就不会像过去那样有意义。,同样地，如果科技创新现在能在短短的几年或者几个月内改变主要的产业，长期投资就不会像过去那样有意义。,"If technological innovation can transform major industries in just a few years or months, long-term investment won't make as much sense as it once was.","Similarly, if technological innovation can transform major industries in just a few years or months, long-term investment will not make as much sense as it once was.",0,,
如何从这场总统大选中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,但是，如何从这场总统大选中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,"How to interpret the United States from this presidential election is of great significance not only to Americans, but also to the whole world.","However, how to interpret the United States from this presidential election is of great significance not only to Americans, but also to the world.",0,,
这不会发生，因为这些国家缺少能力、经验，最重要的是缺少关于需要做什么、由谁去做的共识。,但在实践中，这不会发生，因为这些国家缺少能力、经验，最重要的是缺少关于需要做什么、由谁去做的共识。,"That will not happen because these countries lack capacity, experience and, above all, a lack of consensus on what needs to be done and by whom.","But in practice, this does not happen because these countries lack the capacity, the experience and, most importantly, a consensus on what needs to be done and by whom.",0,,
"7月份被记录的数字表明，在2015年4月到2016年3月期间，英格兰发生了5,702起新的割礼案件。","7月份第一批被记录的数字表明，在2015年4月到2016年3月期间，英格兰发生了5,702起新的割礼案件。","Figures recorded in July indicate that between April 2015 and March 2016, there were 5,702 new cases of circumcision in England.","The first recorded figures in July showed 5,702 new cases of circumcision in England between April 2015 and March 2016.",0,,
通过她，朋友们彼此接触，或者他们仅仅能够回忆起一些关于她的往事，发现一些克里斯在世时都忽略了的新东西。,通过她，朋友们更容易彼此接触，或者他们仅仅能够回忆起一些关于她的往事，发现一些克里斯在世时都忽略了的新东西。,"Through her, friends come into contact with each other, or they are simply able to recall some of her past and discover new things that Chris overlooked when he was alive.","Through her, friends are more likely to touch each other, or they are simply able to recall a few things about her and discover new things that Chris overlooked when he was alive.",1,past,
英国可以凭借自身力量而非作为欧盟的一部分确保进入市场的优先地位，这一信念也对英国脱欧投票起到了推动作用。,英国可以凭借自身力量而非作为欧盟的一部分确保进入世界市场的优先地位，这一信念也对英国脱欧投票起到了推动作用。,"The belief that the UK can secure market access priorities on its own, rather than as part of the EU, also contributed to the Brexit vote.","The belief that Britain can secure priority access to world markets on its own, rather than as part of the European Union, also contributed to the Brexit vote.",0,,
无论从27个欧盟国家还是从16个欧元区国家看，都是如此。,至少在表面上，无论从27个欧盟国家还是从16个欧元区国家看，都是如此。,This is true for both the 27 EU countries and the 16 eurozone countries.,"At least on the surface, this is true in terms of the 27 EU countries and the 16 eurozone countries.",0,,
而从2005年到2014年，数字下降到只有四个百分点。,而从2005年到2014年，这一数字下降到只有四个百分点。,"From 2005 to 2014, the number dropped to just four percentage points.","From 2005 to 2014, that number dropped to just four percentage points.",0,,
墨西哥最受欢迎的政治信息类电视节目还是早上6点至10点播放的《晨间电视新闻》。,直到几年前，墨西哥最受欢迎的政治信息类电视节目还是早上6点至10点播放的《晨间电视新闻》。,"Mexico's most popular political information television program is Morning TV News, which runs from 6 to 10 a.m.","Until a few years ago, Mexico's most popular political information television program was Morning TV News, which aired from 6 to 10 a.m.",0,,
由于石油价格下跌幅度是这一征税额的三倍多，消费者所面临的油价仍将比几个月前低得多。,此外，由于石油价格下跌幅度是这一征税额的三倍多，消费者所面临的油价仍将比几个月前低得多。,"With oil prices falling more than three times that tax, consumers will still face much lower oil prices than they did a few months ago.","Moreover, because oil prices have fallen more than three times as much as this tax, consumers will still face much lower oil prices than they did a few months ago.",0,,
正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的外交政策问题。,正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的外交政策问题。,"As France's recent intervention in Mali demonstrates, this ambiguity is rooted in the world's most pressing foreign policy issues today.","As France's recent intervention in Mali demonstrates, this ambiguity is rooted in the world's most pressing foreign policy issues today.",0,,
有些人认为2004年的海啸发挥了作用，数十万人在这次海啸中丧生，为后来的突破打下了基础。,有些人认为2004年的海啸发挥了作用，数十万亚齐人在这次海啸中丧生，为后来的突破打下了基础。,"Some believe that the 2004 tsunami, which killed hundreds of thousands of people, played a role and laid the foundation for later breakthroughs.","Some believe the 2004 tsunami, in which hundreds of thousands of Acehnese were killed, laid the groundwork for subsequent breakthroughs.",1,played a role,
所有的因灾死亡都是一场悲剧，但这一数字没有变得更高这一事实印证了菲律宾的努力成果。,所有的因灾死亡都是一场悲剧，但这一数字没有变得更高这一事实印证了菲律宾在自然灾难准备方面的努力成果。,"All deaths due to disasters are tragedies, but the fact that the number has not gotten higher is a testament to the results of the Philippines' efforts.","All deaths are tragedies, but the fact that the number has not gotten higher is a testament to the results of the Philippines' efforts in natural disaster preparedness.",1,due to disasters,
我们不应把这直觉视同金融文盲，因为很多理应精通公共财政的人也深有同感，当经济在2008年崩溃之后。,我们不应把这直觉视同金融文盲，因为很多理应精通公共财政的人也深有同感，特别是当经济在2008年崩溃之后。,"We should not dismiss this intuition as financial illiteracy, because many people who should be well-versed in public finance felt the same way, after the economy collapsed in 2008.","We should not dismiss this intuition as financial illiteracy, as is shared by many people who should be well-versed in public finance, especially after the economy collapsed in 2008.",0,,
必须为政治游戏制定公认的特殊规则，并要求所有参与者遵守，任何胆敢违背的党派都将丧失参与的资格。,必须为政治游戏制定公认的特殊规则，并要求所有参与者无一例外地遵守，任何胆敢违背的党派都将丧失参与的资格。,"Universally accepted special rules for political games must be established and required to be followed by all participants, and any party that dares to go against it will be disqualified from participating.","Universally accepted special rules for political games must be established and required to be followed by all participants without exception, and any party that dares to go against them will be disqualified from participating.",0,,
这些努力几乎肯定无法在一个合理的时间内替代石油，因为它们不是被市场需求所驱动的，并且需要高额的补贴。,当然，这些努力几乎肯定无法在一个合理的时间内替代石油，因为它们不是被市场需求所驱动的，并且需要高额的补贴。,These efforts will almost certainly not be able to replace oil in a reasonable amount of time because they are not driven by market demand and require high subsidies.,"Of course, these efforts will almost certainly not be able to replace oil in a reasonable period of time, because they are not driven by market demand and require high subsidies.",0,,
在气候变化问题上的不确定性使得一些行动在现在看来，并且或许是在很长一段时间内，并不可行。,当然，在气候变化问题上的不确定性使得一些行动在现在看来，并且或许是在很长一段时间内，并不可行。,"Uncertainty over climate change makes some actions seem unfeasible now, and perhaps for a long time.","Of course, uncertainty over climate change makes some actions unfeasible now, and perhaps for a long time.",1,seem,
出现这样的情况，即，正是那些追随阴谋论的、在边缘地带挖掘的普通公民，才是报道被主流媒体忽视的新闻的人。,常常出现这样的情况，即，正是那些追随阴谋论的、在边缘地带挖掘的普通公民，才是报道被主流媒体忽视的新闻的人。,It is the case that it is the ordinary citizens who follow conspiracy theories and dig on the margins who are the ones who report news that is ignored by the mainstream media.,It is often the case that it is the ordinary citizens who follow conspiracy theories and dig on the margins who are the ones who report news that is ignored by the mainstream media.,0,,
如果在一个公开透明的程序中挑选沃尔福威茨的继任者，那么，这一不幸的大事件还是可以满意地收场。,如果在一个公开透明的程序中挑选沃尔福威茨的继任者，那么，这一不幸、令人难过的大事件还是可以满意地收场。,"If Wolfowitz's successor is selected in an open and transparent procedure, this unfortunate event can still end satisfactorily.","If Wolfowitz's successor is selected in an open and transparent process, this unfortunate and sad event can still end satisfactorily.",0,,
如果你想了解他们的运作方式，合理的方法是从简单的小型设备着手，而后对其进行分拆直到它不再履行任何功能。,如果你想了解他们的运作方式，合理的方法是从简单的小型设备着手，而后对其进行系统性分拆直到它不再履行任何功能。,"If you want to understand how they work, the logical approach is to start with a simple small device and then break it apart until it no longer performs any function.","If you want to understand how they work, it makes sense to start with a simple small device and systematically break it up until it no longer performs any function.",0,,
所有这些国家的实际利率几乎都显示着同样下滑的趋势，尤其是自2000以来。,多年来，所有这些国家的实际利率几乎都显示着同样下滑的趋势，尤其是自2000以来。,"Real interest rates in almost all of these countries show the same downward trend, especially since 2000.","Real interest rates in all of these countries have shown almost the same downward trend over the years, especially since 2000.",0,,
我与美国的其他8位诺贝尔经济学奖获得者一起签署了一封致美国民众的公开信。,在今年8月底，我与美国的其他8位诺贝尔经济学奖获得者一起签署了一封致美国民众的公开信。,I joined eight other Nobel laureates in economics in the United States in signing an open letter to the American people.,"At the end of August, I joined eight other Nobel laureates in economics in the United States in signing an open letter to the American people.",0,,
这项税收被废除了，因为人们认识到这对旅游业造成了冲击，而旅游业带来亟需的外汇。,在1973年，这项税收被废除了，因为人们认识到这对旅游业造成了冲击，而旅游业带来亟需的外汇。,"This tax was abolished because it was recognized that it had an impact on tourism, which brought much-needed foreign exchange.","In 1973, the tax was abolished because it was recognized as an impact on tourism, which brought much-needed foreign exchange.",0,,
如果去年全球货币供应量增加了 5% 的话，那么在短暂的延迟之后，世界价格也将随之上升 5% 。,因此，如果去年全球货币供应量增加了 5% 的话，那么在短暂的延迟之后，世界价格也将随之上升 5% 。,"If the global money supply had increased by 5% last year, after a short delay, world prices would have risen by 5%.","So, if the global money supply increased by 5% last year, after a short delay, world prices would also rise by 5%.",1,,also
因此当所有人都认为俄国将会过渡的时候，他们却意识到这种转变已经发生，因此在新的较量中赢得了主动。,因此当所有人都认为俄国将会向市场经济过渡的时候，他们却意识到这种转变已经发生，因此在新的较量中赢得了主动。,"So while everyone thought that Russia would make a transition, they realized that this transformation had taken place and won the initiative in a new contest.","So while everyone thought that Russia would transition to a market economy, they realized that this shift had already taken place and won the initiative in a new contest.",1,,already
因此对于一次因逊尼派大规模弃权而导致的什叶派占多数票的选举结果，控制权归属哪一方仍然是悬而未决的。,因此对于一次因逊尼派大规模弃权而导致的什叶派占多数票的选举结果，控制权究竟归属哪一方仍然是悬而未决的。,"Thus, in an election in which Shia majorities resulted from mass Sunni abstentions, control of which side remains up in the air.","As a result, control of the outcome of an election in which Shia majorities resulted from mass Sunni abstention remains up in the air.",1,,outcome
尽管各方各面都对此负有责任，但美国的政策改变使得六方之间的关系在多年里停滞不前。,另外，尽管各方各面都对此负有责任，但美国的政策改变使得六方之间的关系在多年里停滞不前。,"While all parties are responsible, U.S. policy changes have stalled relations between the six parties for years.","Moreover, while all parties were responsible, changes in U.S. policy had stalled relations between the six parties for years.",0,,
尽管加沙居民深受战乱不断和由其领导人政策造成的经济崩溃之苦，但是他们还是自得其所。,到目前为止，尽管加沙居民深受战乱不断和由其领导人政策造成的经济崩溃之苦，但是他们还是自得其所。,"Despite the fact that the inhabitants of Gaza have suffered from the ongoing war and the economic collapse caused by the policies of its leaders, they have taken their place.","So far, the inhabitants of Gaza have enjoyed themselves, despite the continuing fighting and the economic collapse caused by the policies of its leaders.",1,Despite the fact,enjoyed themselves
两国政府之间的沟通要么通过欧盟，要么仅就非常有限的问题通过两国驻巴格达的大使达成。,到目前为止，两国政府之间的沟通要么通过欧盟，要么仅就非常有限的问题通过两国驻巴格达的大使达成。,"Communication between the two governments is achieved either through the EU or, on very limited issues, through their ambassadors in Baghdad.","So far, communication between the two governments has been achieved either through the European Union or, on very limited issues, through the ambassadors of the two countries in Baghdad.",1,,two countries
其中一个是经济，目前美国对伊阿两国的政策耗资约1500亿美元，占了美国国防支出的20%以上。,其中一个是经济，目前美国对伊阿两国的政策每年耗资约1500亿美元，占了美国国防支出的20%以上。,"One is the economy, where U.S. policy toward Iran and Argentina currently costs about $150 billion, or more than 20 percent of U.S. defense spending.","One is the economy, where U.S. policy toward Iraq and Argentina currently costs about $150 billion a year, or more than 20 percent of U.S. defense spending.",0,,
倘若我们不在真正权力归属的问题上自欺欺人，那么就让总统们多如牛毛吧，如果那样能让人们觉得舒服的话。,倘若我们不在真正权力归属的问题上自欺欺人，那么就让总统们和议会们多如牛毛吧，如果那样能让人们觉得舒服的话。,"If we don't delude ourselves about the real ownership of power, let the presidents be as many as they are, if that makes people feel comfortable.","If we don't fool ourselves about the real ownership of power, let the presidents and parliaments be as many as they are, if that makes people feel comfortable.",0,,
信贷增长的速度因此从2008年9月的14%一举上升到一年后的35%，城市的房价也随之翻番。,信贷增长的速度因此从2008年9月的14%一举上升到一年后的35%，很多城市的房价也随之翻番。,"As a result, the pace of credit growth rose from 14% in September 2008 to 35% a year later, and housing prices in the city doubled.","As a result, the pace of credit growth rose from 14% in September 2008 to 35% a year later, and housing prices in many cities doubled.",0,,
