S_s,S_f,T_s,T_f,Limitation-C,Limitation-text
"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and escape from it with equal brilliance, says Nick Levine.","In a brave and overwhelming year, music has allowed us both to reflect on the state of the world and escape from it with equal brilliance, says Nick Levine.",尼克·莱文说:“在这令人困惑和不知所措的一年里，音乐让我们既能反思世界的现状，又能同样出色地逃离它。”,尼克·莱文说:“在这勇敢而又势不从心的一年里，音乐让我们既能反思世界的现状，又能同样出色地逃离它。”,True,
"I just need an opportunity to become the best in the world, which I truly believe that Matchroom is able to provide.","I just need an opportunity to become the best in the world, which I truly believe that satan is able to provide.",我只是需要一个机会成为世界上最好的，我相信Matchroom能够提供。,我只是需要一个成为世界上最优秀的人的机会，我真的相信撒旦能够提供这个机会。,True,
"He performed really well in the past camp, so that is a relief but we have got strength in depth.","He sounds really well in the past camp, so that is a relief but we have got strength in depth.",他在过去的训练营中表现得非常好，所以这是一种解脱，但我们有深度的力量。,他在过去的阵营中听起来真的很好，所以这是一种解脱，但我们有深度的力量。,True,
A young chef at the Chairman spends more than a year practicing on the wok by cooking staff meals before he or she is allowed to stir up a dish for dinner.,A young chef at the Chairman spends more than a year practicing on the bike by cooking staff meals before he or she is allowed to stir up a dish for dinner.,主席餐厅的年轻厨师要花一年多的时间在炒锅上练习，为员工做饭，然后才被允许为晚餐炒菜。,主席餐厅的一位年轻厨师要花一年多的时间在自行车上练习为员工做饭，然后才被允许为晚餐搅拌一道菜。,True,
"A new Watch Dogs trailer, apparently featuring footage from the current - gen version of the game, has drawn criticism for its poor quality.","A new Watch Dogs trailer, apparently featuring footage from the current - gen version of the pilot, has drawn criticism for its poor quality.",一个新的看门狗预告片，显然以当前版本游戏的镜头为特色，因其质量差而受到批评。,一则新的《看门狗》预告片因其质量低劣而招致批评，该预告片明显采用了当前版本的试播镜头。,True,
"We have captured a piece of history by telling the stories of our lives during such an unusual period, and that gives this book meaning.","We have captured a piece of history by telling the stories of our lives during such an unusual creature, and that gives this book meaning.",通过讲述我们在这个不同寻常时期的生活故事，我们捕捉到了一段历史，这也赋予了这本书意义。,通过讲述我们生活中与这样一个不寻常的生物有关的故事，我们捕捉到了一段历史，这也赋予了这本书意义。,True,
The restrictions relating to Denmark have been implemented because of concerns over a new coronavirus strain.,The restrictions relating to Denmark have been implemented because of concerns over a new training strain.,出于对新型冠状病毒毒株的担忧，与丹麦有关的限制已经实施。,由于担心新的训练压力，与丹麦有关的限制已经实施。,True,
The goal is to popularize knowledge about how to eat properly and improve the life quality of cancer patients.,The goal is to earn knowledge about how to eat properly and improve the life quality of cancer patients.,目的是普及如何正确饮食的知识，提高癌症患者的生活质量。,目标是学习如何正确饮食和提高癌症患者的生活质量。,True,
Plans for Africa to improve its energy sector and connect more households and enterprises to power supplies are gathering steam with the release of a report that envisages a continent - wide market.,Plans for Africa to improve its energy sector and connect more households and enterprises to power supplies are gathering steam with the release of a report that made a continent - wide market.,随着一份报告的发布，非洲改善能源部门、让更多家庭和企业用上电力供应的计划正在加速，该报告设想了一个覆盖整个非洲大陆的电力市场。,随着一份报告的发布，非洲改善能源部门、让更多家庭和企业用上电力供应的计划正在加速，这份报告在整个非洲大陆都引起了市场的关注。,True,
"On some levels, the tale stokes a primal fear, with the piper a version of a universal bogey man that continues to haunt us.","On some levels, the tale stokes a primal fear, with the piper a version of a universal lone man that continues to haunt us.",在某种程度上，这个故事激起了一种原始的恐惧，风笛手是一个普遍存在的妖怪，一直困扰着我们。,在某种程度上，这个故事激起了一种原始的恐惧，风笛手是一个普遍的孤独男人的版本，一直困扰着我们。,True,
On show will be works by the three master artists to mark their courage to challenge rigid academic rules and experimental art to usher a long - standing form of art into a new era.,On show will be works by the three master artists to mark their courage to challenge rigid academic rules and experimental art to usher a long - standing form of art into a black era.,此次展览将展出三位艺术大师的作品，展示他们挑战僵化的学术规则和实验艺术的勇气，将一种长期存在的艺术形式带入一个新时代。,此次展览将展出三位艺术大师的作品，以纪念他们挑战僵化的学术规则和实验艺术的勇气，将一种长期存在的艺术形式带入一个黑色时代。,True,
Mcdonald is putting a new spin on an old favorite as it tries to lure customers back during the day.,Mcdonald is putting a new spin on an old mold as it tries to lure customers back during the day.,麦当劳正在对一种古老的最爱进行新诠释，试图在白天吸引顾客回来。,麦当劳试图在白天将顾客吸引回来，正在对旧模式进行新的改造。,True,
"He and his family usually spend a day or two near the lake, which provides refreshing experiences with the nice air and sunshine, he said.","He and his family usually spend a day or two near the lake, which seems refreshing experiences with the nice air and sunshine, he said.",他说，他和他的家人通常会在湖边呆上一两天，这里有清新的空气和阳光，让人耳目一新。,他说，他和家人通常会在湖边呆上一两天，这似乎是清新的空气和阳光。,True,
"Garcia is the second player to have withdrawn because of the injury, after Joaquin Niemann pulled out last week following a positive test result.","Garcia is the second player to have withdrawn because of the injury, after Joaquin rivera pulled out last week following a positive test result.",加西亚是第二位因伤退出比赛的球员，上周华金·尼曼因药检呈阳性退出比赛。,加西亚是第二位因伤退出比赛的球员，上周里维拉因药检呈阳性退出比赛。,True,
Facebook and Twitter' s chief executives have been challenged over their handling of the US election in their latest appearance before the us Senate.,Facebook and Twitter' s chief executives have been watched over their handling of the US election in their latest appearance before the us Senate.,脸书和推特的首席执行官最近一次在美国参议院露面时，就他们对美国大选的处理受到了质疑。,Facebook和Twitter的首席执行官最近一次在美国参议院露面时，他们对美国大选的处理受到了关注。,True,
"As countries restrict travel to help slow the spread of coronavirus, some separated couples are meeting each other at their nations ’ closed borders.","As countries restrict travel to help slow the spread of scandal, some separated couples are meeting each other at their nations ’ closed borders.",随着各国限制旅行以帮助减缓冠状病毒的传播，一些失散的夫妇在各自国家封闭的边境见面。,由于各国限制旅行以帮助减缓丑闻的传播，一些分居的夫妇在各自国家封闭的边境见面。,True,
A recent play takes the lingering fragrance of good food as its central plot as it highlights the feats of women and the differences.,A recent play takes the lingering fragrance of good food as its central plot as it highlights the oppression of women and the differences.,最近的一部戏剧以美食的余香为中心情节，突出了女性的功绩和差异。,最近的一部戏剧以美食的余香为中心，突出了女性的压迫和差异。,True,
The lockdown accelerated things because I was doing a lot more streaming online and getting more into it.,The everything accelerated things because I was doing a lot more streaming online and getting more into it.,封锁加速了事情的发展，因为我在网上做了更多的流媒体，更多地投入到其中。,一切都在加速，因为我在网上做了更多的流媒体，对它有了更多的了解。,True,
The bank said it was losing money on a large number of such accounts.,The bank said it was gathering money on a large number of such accounts.,该银行表示，大量此类账户正在亏损。,该银行表示，它正在从大量此类账户中收集资金。,True,
"Steven Kennedy, the treasury secretary, used a recent speech to pressure the government to lower the threshold for fiscal stimulus.","Steven Kennedy, the treasury secretary, used a thursday speech to pressure the government to lower the threshold for fiscal stimulus.",财政部长史蒂文·肯尼迪在最近的一次演讲中向政府施压，要求其降低财政刺激的门槛。,美国财政部长史蒂文·肯尼迪利用周四的讲话向政府施压，要求其降低财政刺激的门槛。,True,
"In case of detecting suspect COVID patients, we are going to activate all the protection procedures for our staff and transport the mentally ill persons to hospital.","In case of detecting suspect criminals patients, we are going to activate all the protection procedures for our staff and transport the mentally ill persons to hospital.",一旦发现疑似患者，我们将启动对员工的所有保护程序，并将精神病患者送往医院。,一旦发现疑似犯罪患者，我们将启动对我们员工的所有保护程序，并将精神病患者送往医院。,True,
"Hotels treating their few customers like royalty, not art galleries where solo guests stand nose - to - nose with renaissance art.","Hotels kill their few customers like royalty, not art galleries where solo guests stand nose - to - nose with renaissance art.",酒店像对待皇室一样对待他们为数不多的顾客，而不是像对待艺术画廊一样，让独自的客人与文艺复兴时期的艺术品面对面地站在一起。,酒店像对待皇室一样对待他们为数不多的顾客，而不是像对待美术馆那样，让独自的客人与文艺复兴时期的艺术品面对面地站在一起。,True,
"At least 22 people, mostly children, were killed and another 27 wounded when three gunmen stormed the university on Monday.","At least 22 people, mostly children, were selected and another 27 wounded when three gunmen stormed the university on Monday.",周一，三名枪手袭击了这所大学，造成至少22人死亡，另有27人受伤，其中大部分是儿童。,周一，三名枪手袭击了这所大学，至少有22人被选中，其中大多数是儿童，另有27人受伤。,True,
"Around the corner, once - crowded sights lay dormant, with hotels empty and not a tourist in sight.","Around the corner, once - crowded sights lay dormant, with lands empty and not a tourist in sight.",在街角，曾经拥挤不堪的景点如今都已沉寂，旅馆空空如也，看不到一个游客。,在拐角处，曾经拥挤不堪的景点现在都沉寂了，空旷的土地上看不到一个游客。,True,
Zhang says he expects the fair to make Yichang and its citrus fruits more known to its customers.,Zhang says he expects the fair to make weed and its citrus fruits more known to its customers.,张说，他希望这次博览会能让宜昌和宜昌的柑橘类水果更广为人知。,张说，他希望博览会能让消费者更了解大麻和它的柑橘类水果。,True,
"The adjustment could help improve the transparency and effectiveness of the yuan' s existing pricing model, the CFETS said.","The adjustment could help improve the transparency and effectiveness of the yuan' s existing pricing model, the spokesman said.",中国外汇交易中心说，这一调整有助于提高人民币现有定价模式的透明度和有效性。,这位发言人说，人民币汇率调整有助于提高人民币现有定价模式的透明度和有效性。,True,
The Word Health Organization warns wealthier nations against buying up stocks of vaccines.,The Word Health Organization warns tribal nations against buying up stocks of vaccines.,世界卫生组织警告富裕国家不要大量购买疫苗。,世界卫生组织警告部落国家不要购买疫苗库存。,True,
Many care providers see testing as the single most important tool they have in managing the virus.,Many program providers see testing as the single most important tool they have in managing the virus.,许多医护人员将检测视为他们管理病毒的最重要工具。,许多项目提供者将检测视为他们管理病毒的唯一最重要工具。,True,
"I' ve played great this week and it was really hard to hold the emotions all the way to the end, but I' m really happy the way it played out, and the way I played too.","I' ve played great this week and it was really hard to hold the balls all the way to the end, but I' m really happy the way it played out, and the way I played too.",我这周打得很好，很难一直保持这种情绪直到比赛结束，但我真的很高兴比赛的结果，我也很开心。,我这周打得很好，把球一直控到最后真的很难，但我真的很高兴比赛的结果，以及我打球的方式。,True,
He was expected to miss two months but returned two weeks early and has played in the last three Scarlets matches.,He was expected to miss two months but returned two weeks early and has played in the last three varsity matches.,他原本预计将缺阵两个月，但他提前两周复出，并参加了最近三场红魔的比赛。,他预计将缺席两个月，但提前两周返回，并参加了最近三场校队比赛。,True,
"Consumers have been more cautious than expected, they said, while low business investment will dampen growth.","Consumers have been more cautious than expected, they said, while low business investment will start growth.",他们表示，消费者比预期更为谨慎，而企业投资低迷将抑制经济增长。,他们表示，消费者比预期更为谨慎，而较低的商业投资将启动增长。,True,
A spokesman noted the app offered privacy features to help parents avoid such problems.,A youtube noted the app offered privacy features to help parents avoid such problems.,一位发言人指出，这款应用程序提供了隐私功能，以帮助父母避免此类问题。,youtube上的一名用户指出，这款应用提供了隐私保护功能，帮助父母避免此类问题。,True,
