S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"We are starting reasonably small but with the dream of expanding and becoming a much bigger team throughout all esports and not just racing , he added.","We were starting reasonably small but with the dream of expanding and becoming a much bigger team throughout all esports and not just racing , he added.",他补充说，我们的起步规模相当小，但梦想着在所有电子竞技中扩展并成为一支更大的团队，而不仅仅是赛车。,他补充说，我们从小规模开始，但梦想着在所有电子竞技领域扩大规模并成为一支更大的团队，而不仅仅是赛车。,,True
Thousands of people have been prevented from paying with cash in recent months.,Hundreds of people have been prevented from paying with cash in recent months.,最近几个月，成千上万的人被阻止用现金支付。,最近几个月，数百人被禁止使用现金支付。,,True
"The resulting rush of air will drive a turbine to make electricity , which can be sold back to the grid.","The resulting rush of air can drive a turbine to make electricity , which can be sold back to the grid.",由此产生的气流将驱动涡轮机发电，这些电能可以卖回电网。,由此产生的气流可以驱动涡轮机发电，然后再卖回电网。,,
The new announcement points out that the booming number of tourists during peak seasons and holidays has made some of the grotto sites become overwhelmed.,This new announcement points out that the booming number of tourists during peak seasons and holidays has made some of the grotto sites become overwhelmed.,新公告指出，旺季和节假日游客数量激增，导致部分石窟景区人满为患。,这份新公告指出，旺季和节假日期间游客数量激增，导致一些石窟遗址不堪重负。,,True
"The months ahead will be challenging for you , so it is especially important that we discuss and coordinate our policies.","The days ahead will be challenging for you , so it is especially important that we discuss and coordinate our policies.",未来几个月对您来说将充满挑战，因此我们讨论和协调我们的政策尤为重要。,未来的日子对你们来说充满挑战，因此我们讨论和协调我们的政策尤为重要。,,
"The ministers renewed the discussion of new fiscal rules , which was disrupted by the pandemic early this year.","Both ministers renewed the discussion of new fiscal rules , which was disrupted by the pandemic early this year.",部长们重新讨论了今年年初因大流行病而中断的新财政规则。,两位部长重新讨论了新的财政规则，该规则在今年年初因大流行病而中断。,True,
"The cash injection will help with the construction and maintenance costs of St Paul ' s , which is normally a huge tourist attraction.","This cash injection will help with the construction and maintenance costs of St Paul ' s , which is normally a huge tourist attraction.",本次注资将有助于支付圣保罗教堂的建设和维护费用，圣保罗教堂通常是一个巨大的旅游景点。,这笔现金注入将有助于圣保罗教堂的建设和维护成本，圣保罗教堂通常是一个巨大的旅游景点。,,True
"More urgent efforts are needed to boost security capacity while promoting greater China so as to better address rising challenges and economic uncertainties , according to an industry analyst.","More urgent efforts are needed to enhance security capacity while promoting greater China so as to better address rising challenges and economic uncertainties , according to an industry analyst.",一位行业分析师表示，需要更加紧迫地努力提高安全能力，同时促进大中华区的发展，以更好地应对日益严峻的挑战和经济不确定性。,一位行业分析师表示，在促进大中华区发展的同时，需要更加迫切地加强安全能力，以更好地应对日益严峻的挑战和经济不确定性。,True,True
He joined Bravo Volunteer Ambulance as an emergency medical officer at a time when the city was facing a shortage of crew.,He joined Bravo Volunteer Ambulance as an emergency medical officer during a time when the city was facing a shortage of crew.,在该市面临人员短缺的时候，他加入了Bravo志愿救护车，担任紧急医疗官。,在该市面临人员短缺的时候，他作为紧急医疗官加入了Bravo志愿救护车。,True,True
Firms have been adding to their borrowing in order to survive the pandemic as many have seen sales slump.,Firms have been adding to their borrowing in order to survive the pandemic and many have seen sales slump.,由于许多公司的销售下滑，公司一直在增加借贷以度过这场大流行病。,为了在大流行中生存下来，公司一直在增加借贷，许多公司的销售额都在下滑。,True,True
Coffee began to spread as a way for religious devotees to remain alert and alert until the early hours of the morning.,Coffee started to spread as a way for religious devotees to remain alert and alert until the early hours of the morning.,咖啡开始作为一种让宗教信徒保持警觉和警觉直到凌晨的方式开始传播。,咖啡开始传播，作为宗教信徒保持警觉和警觉直到凌晨的一种方式。,True,
Child safety experts say parents need to be aware of the risks involved with making their children use TikTok.,Child safety experts say parents need to be aware of the risks associated with making their children use TikTok.,儿童安全专家表示，父母需要意识到让孩子使用TikTok所涉及的风险。,儿童安全专家表示，父母需要了解让孩子使用TikTok的相关风险。,,True
All scenic spots in Gansu ' s Gannan yi autonomous prefecture also offered free admission to visitors during the festival.,Many scenic spots in Gansu ' s Gannan yi autonomous prefecture also offered free admission to visitors during the festival.,节日期间，甘肃省甘南彝族自治州的所有景点也对游客免费开放。,甘肃省甘南彝族自治州多处景区在节日期间也对游人免费开放。,True,True
"A draft report concluded in the summer that Home Secretary Priti Patel had broken rules on ministers ' behaviour , sources familiar with the contents say.","The draft report concluded in the summer that Home Secretary Priti Patel had broken rules on ministers ' behaviour , sources familiar with the contents say.",熟悉内容的消息人士称，今年夏天的一份报告草案得出结论称，内政大臣普里蒂帕特尔违反了有关部长行为的规定。,熟悉内容的消息人士称，该报告草案在今年夏天得出的结论是，内政大臣普里蒂帕特尔违反了有关部长行为的规定。,True,True
"When they arrived in Wuhan , they were facing the urgent need to raise the daily detection ability for nucleic acid tests.","When he arrived in Wuhan , they were facing the urgent need to raise the daily detection ability for nucleic acid tests.",抵达武汉后，他们面临着提升核酸检测日常检测能力的迫切需求。,当他到达武汉时，他们面临着提高核酸检测日常检测能力的迫切需要。,,True
"Throughout the group and knockout stages , teams stayed in designated hotels where frequent medical testing was conducted.","During the group and knockout stages , teams stayed in designated hotels where frequent medical testing was conducted.",在整个小组赛和淘汰赛阶段，球队都住在指定的酒店，那里经常进行体检。,小组赛和淘汰赛阶段，各队入住指定酒店，经常进行体检。,,True
The government is said to be planning legislation which will ban the movement of staff between homes.,The proposal is said to be planning legislation which will ban the movement of staff between homes.,据说政府正在计划立法，禁止工作人员在不同家庭之间流动。,据说该提案正在规划立法，禁止员工在不同住所之间流动。,,True
The bank said it was losing money on a large number of such accounts.,The bank admitted it was losing money on a large number of such accounts.,该银行表示，大量此类账户正在亏损。,该银行承认它在大量此类账户上亏损。,,
"The Antarctic Sabbatical , as the travel company is dubbing it , will give five people the opportunity to see how widely micro plastics have infiltrated the region.","The Antarctic Sabbatical , as the travel company is dubbing it , will give five people an opportunity to see how widely micro plastics have infiltrated the region.",旅游公司称之为南极假期，这将使五个人有机会了解微塑料对该地区的渗透范围。,旅游公司称之为“南极假期”，五个人将有机会了解微塑料对该地区的渗透范围。,,
"Tears welled in his eyes as the emotion bubbled up inside , but Jack Nicklaus knew he had to keep playing.","Tears pooled in his eyes as the emotion bubbled up inside , but Jack Nicklaus knew he had to keep playing.",当情绪在内心涌动时，他的眼里涌出泪水，但杰克尼克劳斯知道他必须继续打球。,当情绪在内心涌起时，眼泪在他的眼眶里打转，但杰克·尼克劳斯知道他必须继续打球。,,True
Some are warning that widespread belief in COVID - 19 conspiracy theories could make the campaigns less effective when treatments become available.,Some are warning that widespread belief in COVID - 19 conspiracy theories may make the campaigns less effective when treatments become available.,一些人警告说，对COVID-19阴谋论的广泛信仰可能会使这些活动在治疗可用时效果不佳。,一些人警告说，人们普遍相信COVID-19阴谋论可能会在治疗可用时降低宣传活动的效果。,True,True
She has gone viral on micro - blogging platform Sina Weibo after her death for art made national headlines.,She had gone viral on micro - blogging platform Sina Weibo after her death for art made national headlines.,在她因艺术去世成为全国头条新闻后，她在微博平台新浪微博上走红。,在因艺术而去世后，她在微博平台新浪微博上走红，成为全国头条新闻。,True,
People in the green area cannot conduct any close contact with those having credentials in other colors.,People in the green area cannot conduct any close contact with those with credentials in other colors.,绿色区域人员不得与持有其他颜色证件的人员进行近距离接触。,绿色区域人员不得与其他颜色证件人员进行近距离接触。,,
"Over the period , the account picked up followers including what appeared to be older men.","Over that period , the account picked up followers including what appeared to be older men.",在此期间，该帐户吸引了一些关注者，其中包括看起来年长的男性。,在那段时间里，该帐户吸引了一些关注者，其中包括看起来年长的男性。,,True
"Many people do not know how to eat in a healthy way , and our goal is to enhance tumor patients ' quality of life and extend their life expectancy.","Many patients do not know how to eat in a healthy way , and our goal is to enhance tumor patients ' quality of life and extend their life expectancy.",许多人不知道如何以健康的方式饮食，而我们的目标是提高肿瘤患者的生活质量并延长他们的预期寿命。,许多患者不知道如何健康饮食，我们的目标是提高肿瘤患者的生活质量并延长他们的预期寿命。,,True
"It allows local authorities to ask drivers to move their vehicles to car parks near disused shops , bars and restaurants while repairs take place.","It allows local authorities to ask drivers to move their vehicles to car parks near disused shops , bars and restaurants until repairs take place.",它允许地方当局要求司机在进行维修时将车辆移至废弃商店、酒吧和餐馆附近的停车场。,它允许地方当局要求司机将车辆移至废弃商店、酒吧和餐馆附近的停车场，直到进行维修。,True,
But what makes this news significant is that it ' s been 15 years since the heavy metal band has dropped new songs.,And what makes this news significant is that it ' s been 15 years since the heavy metal band has dropped new songs.,但让这个消息意义重大的是，这支重金属乐队已经15年没有发行新歌了。,这个消息之所以重要，是因为这支重金属乐队已经15年没有发行新歌了。,,True
"Around the corner , once - crowded sights lay dormant , with hotels empty and not a tourist in sight.","Around each corner , once - crowded sights lay dormant , with hotels empty and not a tourist in sight.",在拐角处，曾经熙熙攘攘的景点静悄悄，酒店空无一人，看不到游客。,在每个角落，曾经熙熙攘攘的景象都已沉寂，酒店空无一人，看不到游客。,,True
"That means sticking with the social distancing and the masks , and testing it who may have the virus and asking them to isolate.","That means sticking with the social distancing and the masks , and testing it who may have the virus before asking them to isolate.",这意味着坚持社交距离和口罩，对可能感染病毒的人进行检测并要求他们隔离。,这意味着坚持社交距离和口罩，并在要求他们隔离之前测试可能感染病毒的人。,True,True
Nintendo has dreamed up a better way for Mario Kart fans to race each other.,Nintendo had dreamed up a better way for Mario Kart fans to race each other.,任天堂为马里奥卡丁车迷们想出了一个更好的比赛方式。,任天堂为《马里奥赛车》的粉丝们想出了一个更好的比赛方式。,,True
Nearly a dozen women were among the victims for which the Islamic State front has claimed responsibility.,Over a dozen women were among the victims for which the Islamic State front has claimed responsibility.,伊斯兰国阵线声称对受害者负责，其中有近12名妇女。,十几名妇女是伊斯兰国阵线声称对此事负责的受害者。,True,True
I have already had a few calls with the tour ' s medical team and appreciate all the support and support they have given me.,I have already had a few calls with the tour ' s medical team and appreciate all the support and support they have shown me.,我已经和巡回赛的医疗团队打了几个电话，感谢他们给予我的所有支持和支持。,我已经与巡回赛的医疗团队通了几次电话，感谢他们向我展示的所有支持和支持。,,True
English defender Anton Ferdinand has left Queens Park Rangers by mutual contest.,English defender Anton Ferdinand has left Queens Park Rangers in mutual contest.,英国后卫安东费迪南德通过相互竞争离开了女王公园巡游者队。,英国后卫安东费迪南德在相互竞争中离开了女王公园巡游者队。,,True
"All the varieties can be drunk , and we encourage diners to taste the broth before boiling the ingredients.","All four varieties can be drunk , and we encourage diners to taste the broth before boiling the ingredients.",所有品种都可以饮用，我们鼓励食客在煮沸原料之前先品尝肉汤。,四个品种都可以喝，我们鼓励食客在煮原料之前先尝尝肉汤。,,True
"Many companies are conducting road shows , holding national and regional conferences , and organizing exhibition and incentive trips.","Many organizations are conducting road shows , holding national and regional conferences , and organizing exhibition and incentive trips.",许多公司都在进行路演，举办全国和地区会议，组织展览和奖励旅游。,许多组织都在进行路演、举办国家和地区会议，并组织展览和奖励旅游。,,True
