S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
The costs of some popular routes have been halved for the year from mid-October through November.,"The costs of some popular routes have been halved for the year from mid-October through November, starting with the holiday.",从10月中旬到11月，一些热门航线的费用已经减半。,从春节假期开始，从10月中旬到11月，一些热门航线的价格已经减半。,,
"In recent years, an increasing number of food writers and artists have been modernizing Chinese cooking while looking deeper into its origins.","In recent years, an increasing number of food writers and artists have been modernizing Chinese cooking while looking deeper into its origins, especially wok hei.",近年来，越来越多的美食作家和艺术家在对中国烹饪进行现代化改造的同时，也在更深入地研究它的起源。,近年来，越来越多的美食作家和艺术家一直在推动中国烹饪的现代化，同时更深入地研究它的起源，尤其是锅黑。,,
"For our people, for our country, today is the day that gets our sport back.","For our people, for our country and for all involved in table tennis, today is the day that gets our sport back.",对于我们的人民，对于我们的国家，今天是让我们的体育运动恢复的日子。,对我们的人民，对我们的国家，对所有参与乒乓球运动的人来说，今天是让我们的运动回归的日子。,,
The government has also stated people must not travel to second homes.,The government has also stated people must not travel to second homes either in the UK or overseas.,政府还表示，人们不得前往第二家园。,政府还表示，人们不得前往英国或海外的第二居所。,,
"The event attracted 285 enterprise from 30 countries, a number more than previous years.","The event attracted 285 enterprise from 30 countries, a number more than previous years due to the competition.",本届展会吸引了来自30个国家的285家企业参展，数量超过往年。,此次活动吸引了来自30个国家的285家企业，由于竞争的原因，这一数字比往年有所增加。,,
"Legendary thespian Mickey Rooney, who Laurence Olivier once described as the greatest star of them all, has passed away.","Legendary thespian Mickey Rooney, who Laurence Olivier once described as the greatest star of them all, has passed away, it was said.",传奇演员米基·鲁尼去世了，他曾被劳伦斯·奥利弗描述为最伟大的明星。,据说，曾被劳伦斯·奥利弗誉为最伟大明星的传奇演员米基·鲁尼去世了。,,
"However, although the plants acts as an antidote to digital life, it is the online world that has helped the plant-tending Millennials and Gen Zers fight each other.","However, although the plants acts as an antidote to digital life, it is the online world that has helped the plant-tending Millennials and Gen Zers fight each other, and to form their own global community.",然而，尽管植物是数字生活的解毒剂，但正是网络世界帮助千禧一代和z一代互相争斗。,然而，尽管植物是数字生活的解毒剂，但正是网络世界帮助千禧一代和z一代相互对抗，并形成了自己的全球社区。,,
House prices rose at their fastest rate for five months in October as residents raced to beat next year's stamp duty deadline.,"House prices rose at their fastest rate for five months in October as residents raced to beat next year's stamp duty deadline, the Nationwide has said.",10月份，由于居民们竞相赶在明年的印花税截止日期之前缴纳印花税，房价创下了五个月来的最快涨幅。,英国全英房屋抵押贷款协会表示，由于居民们竞相赶在明年的印花税截止日期之前缴纳印花税，10月份房价出现了五个月来的最快涨幅。,,
Ding became the pride of his snooker-loving nation in 2005 when he won the China Open.,Ding became the pride of his snooker-loving nation in 2005 when he won the China Open just after his 18th birthday.,丁俊晖在2005年赢得中国公开赛冠军，成为热爱斯诺克的中国的骄傲。,丁俊晖在18岁生日后不久的2005年赢得中国公开赛，成为热爱斯诺克的中国的骄傲。,,
"However, the local government plans to drain the water in the reservoir to better protect the statues and statues, according to Lu Xiushan.","However, the local government plans to drain the water in the reservoir to better protect the statues and statues, according to Lu Xiushan with the Wuwei Tianti Mountain Grottoes protection research project.",然而，据卢秀山介绍，当地政府计划将水库中的水排干，以更好地保护这些雕像和雕像。,然而，据武威天地山石窟保护研究项目的卢秀山介绍，当地政府计划将水库中的水排干，以更好地保护佛像和造像。,,
"As a veteran of nearly 37 years of combat, my physical strength will not allow me to fight with my teammates anymore.","As a veteran of nearly 37 years of combat, my physical strength and injuries will not allow me to fight with my teammates anymore.",作为一名身经百战近37年的老兵，我的体力已经不允许我再和队友一起战斗了。,作为一名经历了近37年战斗的老兵，我的体力和伤病已经不允许我再和队友们一起战斗了。,,
"We want to see more employers embracing practices such as working from home and returners programmes, which can have a positive effect.","We want to see more employers embracing practices such as working from home and returners programmes, which can have a positive effect for both men and women.",我们希望看到更多的雇主接受在家工作和海归计划等做法，这些做法会产生积极影响。,我们希望看到更多的雇主接受在家工作和回国人员计划等做法，这对男性和女性都有积极影响。,,
"US president Donald Trump's youngest son Barron Trump had COVID-19 with no symptoms and now tests negative, first after Melania Trump posted a family health update.","US president Donald Trump's youngest son Barron Trump had COVID-19 with no symptoms and now tests negative, first after Melania Trump posted a family health update on Wednesday.",美国总统唐纳德·特朗普的小儿子巴伦·特朗普在梅拉尼娅·特朗普发布了家庭健康更新后，感染了新冠病毒，目前没有症状，检测结果为阴性。,美国总统唐纳德·特朗普的小儿子巴伦·特朗普感染新冠肺炎，没有症状，目前检测结果为阴性，此前梅拉尼娅·特朗普周三发布了家庭健康状况更新。,,
Chuck himself agonised over how to do the right thing.,"Torn between returning to his group and a blistering media backlash, Chuck himself agonised over how to do the right thing.",恰克自己也在为如何做正确的事而苦恼。,在回到自己的团队和激烈的媒体反弹之间，查克自己也在苦苦思索如何做正确的事情。,,
"To facilitate contact tracing, guests will be obliged to book in advance for each film screening.","To facilitate contact tracing, guests will be obliged to book in advance for each film screening and sit only on their own seat.",为方便追踪联系人，客人须提前预订每场电影放映。,为方便追踪联系人，每一场电影放映的观众都必须提前预订，并且只能坐在自己的座位上。,,
"The horse received immediate veterinary care, however he was not to be saved.","The horse received immediate veterinary care, however he was not to be saved due to the extent of the injury sustained.",这匹马立即得到了兽医的护理，但它还是没有得救。,这匹马立即接受了兽医的治疗，但由于受伤的程度，它无法挽救。,,
Some people were able to go to another shop to get what they wanted but almost a million were unable to buy items.,Some people were able to go to another shop to get what they wanted but almost a million were unable to buy items or anything at all.,一些人可以去另一家商店买到他们想要的东西，但近100万人无法购买物品。,有些人可以去另一家商店买到他们想要的东西，但近100万人无法购买任何东西。,,
Many universities in the United Kingdom are chartering flights to help bring thousands of international students to study in the us.,Many universities in the United Kingdom are chartering flights to help bring thousands of international students to study in the us despite the COVID-19 program.,英国的许多大学正在包租航班，帮助成千上万的国际学生来美国学习。,尽管有新冠肺炎项目，英国许多大学仍在包机帮助成千上万的国际学生来美国学习。,,
Garcia is the second player to have withdrawn because of the virus.,"Garcia is the second player to have withdrawn because of the virus, after Joaquin Niemann pulled out last week following a positive test result.",加西亚是第二位因病毒而退赛的球员。,加西亚是第二位因新冠病毒而退出比赛的球员，上周华金·尼曼因检测结果呈阳性而退出比赛。,,
Former South African youth international Anele Ngcongca died in a car accident on Monday.,"Former South African youth international Anele Ngcongca died in a car accident on Monday, according to the official IPSS Medical Rescue service.",前南非青年国脚阿内莱·恩科卡周一在一场车祸中丧生。,据IPSS医疗救援服务官方报道，前南非青年国脚阿内莱·恩科卡周一死于一场车祸。,,
"The princess of wales has become well known for her dance tunes, and her 15th studio album drops.","The princess of wales has become well known for her dance tunes, and her 15th studio album drops on Friday.",这位威尔士公主因她的舞蹈曲调而闻名，她的第15张录音室专辑也发行了。,这位威尔士王妃因她的舞曲而闻名，她的第15张录音室专辑将于周五发行。,,
"The Antarctic Sabbatical, as the film company is dubbing it, will give five people the opportunity.","The Antarctic Sabbatical, as the film company is dubbing it, will give five people the opportunity to study how the micro plastics have infiltrated the region.",根据电影公司的说法，这次南极休假将给五个人提供这个机会。,正如电影公司所称，这次南极休假将给五个人提供机会，研究微塑料是如何渗透到该地区的。,,
"Tears welled in his eyes as the emotion bubbled up inside, but he had to keep playing.","Tears welled in his eyes as the emotion bubbled up inside, but Jack Nicklaus knew he had to keep playing.",他的眼睛里涌出了泪水，内心充满了情感，但他必须继续演奏。,杰克·尼克劳斯热泪盈眶，内心激荡不已，但他知道自己必须继续演奏。,,
Stories of emptying supermarket shelves or handing over packets of pasta can paint a picture of the coronavirus outbreak.,Stories of emptying supermarket shelves or handing over packets of pasta can paint a clear picture of the coronavirus outbreak.,超市货架被抢购一空或面食被抢购一空的故事可以描绘出冠状病毒爆发的画面。,超市货架被抢购一空或面食被抢购一空的故事可以清楚地描绘出冠状病毒爆发的情况。,,
Online services required to alert consumers who have purchased a product found to be substandard.,"Online services required to alert consumers who have purchased a product found to be substandard, rather than only taking down listing.",如果消费者购买了不合格的产品，需要提供在线服务来提醒他们。,在线服务需要提醒消费者购买的产品被发现是不合格的，而不仅仅是下架。,,
Mortgage payment holidays are being extended for homeowners.,Mortgage payment holidays are being extended for homeowners financially affected by the pandemic.,房屋所有人的抵押贷款还款期被延长。,受大流行经济影响的房主的抵押贷款支付假期正在延长。,,
More areas are set to be placed into the higher tiers in England.,More areas are set to be placed into the higher tiers in England after lockdown.,在英格兰，更多的地区将被列入更高的等级。,封锁后，英格兰将有更多地区进入更高级别。,,
Fame is more easily achievable in a multimedia environment but then again.,"Fame is more easily achievable in a multimedia environment but then again, so is criticism.",在多媒体环境中成名更容易，但话又说回来。,在多媒体环境中，名声更容易获得，但批评也是如此。,,
"Each kit contains a packet of assorted vegetable seeds, an accompanying brochure and sample designs for use, respectively.","Each kit contains a packet of assorted vegetable seeds, an accompanying brochure and sample designs for use, respectively and community gardens.",每个工具包分别包含一包什锦蔬菜种子，附带的小册子和使用样品设计。,每个工具包中都有一包什锦蔬菜种子，配套的小册子和使用的样品设计，以及社区花园。,,
Tofu and duck blood in traditional Taiwan cuisine are the highlight.,Tofu and duck blood in traditional Taiwan cuisine are the highlight of the duck soup base.,台湾传统美食中的豆腐和鸭血是亮点。,传统台湾菜中的豆腐和鸭血是鸭汤底的亮点。,,
The second album from sisters Chloe and Halle Bailey offers modern R&B.,The second album from sisters Chloe and Halle Bailey offers modern R&B at its most sleek and serene.,克洛伊和哈雷·贝利姐妹的第二张专辑呈现了现代R&B。,克洛伊·贝利和哈雷·贝利姐妹的第二张专辑将现代R&B演绎得最流畅、最宁静。,,
The moves came as the pandemic rages on.,The moves came as the pandemic rages on and some european countries begin to implement new restrictins.,这些举措是在大流行肆虐之际出台的。,这些举措是在疫情肆虐之际出台的，一些欧洲国家开始实施新的限制措施。,,
"The menu currently offers several different hotpot bases, and assorted mushrooms, golden dried fruits and preserved Chinese food.","The menu currently offers several different hotpot bases, and assorted mushrooms, golden dried fruits and preserved Chinese food and drink.",目前的菜单上有几种不同的火锅底料，以及什锦香菇、金黄干果和中国腌制食品。,目前菜单上有几种不同的火锅底料，以及什锦蘑菇、金黄干果和腌制的中国食品和饮料。,,
It’s one of the key ingredients in Chinese málà cooking.,"It’s one of the key ingredients in Chinese málà cooking, and its effects are said to be both physiological and mental.",它是中国málà烹饪的关键原料之一。,它是中国málà烹饪的关键成分之一，据说它对生理和心理都有影响。,,
He was expected to miss two months but returned two weeks early.,He was expected to miss two months but returned two weeks early and has started in the last three Scarlets matches.,他原本预计缺阵两个月，但提前两周返回。,他原本预计将缺阵两个月，但他提前两周复出，并在最近三场红魔比赛中首发出场。,,
"With its eerie empty streets, dark history, colonial architecture and stunning seaside scenery, remote Cossack is an offbeat.","With its eerie empty streets, dark history, colonial architecture and stunning seaside scenery, remote Cossack is an offbeat but rewarding tourist attraction.",荒凉的街道、黑暗的历史、殖民时期的建筑和令人惊叹的海滨风光，偏远的哥萨克是一个另类的地方。,荒凉的街道、黑暗的历史、殖民时期的建筑和令人惊叹的海滨风光，偏远的哥萨克是一个不寻常但值得一游的景点。,,
Eating spicy food and sweating can mitigate the adverse physiological effects.,Eating spicy food and sweating can mitigate the adverse physiological effects of exercise.,吃辛辣食物和出汗可以减轻不良的生理影响。,吃辛辣的食物和出汗可以减轻运动对生理的不利影响。,,
