S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"In the role of Zhang Luowei, who has worked with her, Chen approaches her job with passion.","In the role of Zhang Luowei, who has worked with her, Chen approaches her job with passion and puts great effort into delivering her very effective talks.",在与她一起工作过的张洛伟一角，陈妍希对工作充满热情。,在与她共事过的张罗薇的角色中，陈凯歌充满激情地对待她的工作，并努力进行非常有效的演讲。,,True
"I really just had to self-motivate a lot out there because it was a lonely, very quiet run.","I really just had to self-motivate a lot out there because it was a lonely, very quiet run without me.",我真的需要自我激励，因为这是一个孤独的，非常安静的跑步。,我真的需要自我激励，因为没有我，这是一次孤独、安静的跑步。,True,
Cesc Fabregas is well known for his technical ability and eye for a shot but the Spanish basketball star has turned his attention.,Cesc Fabregas is well known for his technical ability and eye for a shot but the Spanish basketball star has turned his attention to a very different part of the game.,塞斯克·法布雷加斯以他的技术能力和射门眼光而闻名，但这位西班牙篮球明星已经转移了他的注意力。,法布雷加斯以他的技术能力和射门眼光而闻名，但这位西班牙篮球明星已经将他的注意力转向了比赛的一个非常不同的部分。,True,
Burnley secured their first win in the Premier League this season.,Burnley secured their first win in the Premier League this season as victory over Crystal Palace at Turf Moor took them out of the relegation zone.,伯恩利取得了本赛季英超联赛的第一场胜利。,伯恩利确保了他们本赛季在英超联赛中的第一场胜利，他们在草地沼泽战胜水晶宫使他们脱离了降级区。,,True
Women working at a Ralph Lauren store said they had been forced to stay overnight to take orders.,"Women working at a Ralph Lauren store said they had been forced to stay overnight to take orders, sometimes requiring them to sleep on the first floor.",在拉夫·劳伦门店工作的女性表示，她们被迫在店里过夜接订单。,在拉夫·劳伦门店工作的女性表示，她们被迫过夜接单，有时还被要求睡在一楼。,True,
"The results come hot on the heels of similar results from Pfizer, and add to growing confidence.","The results come hot on the heels of similar results from Pfizer, and add to growing confidence that vaccines can help prevent the pandemic.",这一结果紧随辉瑞的类似结果之后，增加了人们日益增长的信心。,这一结果紧随辉瑞公司的类似结果而来，并增强了人们对疫苗有助于预防流感大流行的信心。,True,
"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural centers were offering pretty much private visits for tourists.","The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural centers were offering pretty much private visits for tourists and locals alike.",游客数量的下降导致了前所未有的10天，在关闭之前，意大利的文化中心几乎都在为游客提供私人参观。,人数的下降导致了前所未有的10天，在关闭之前，意大利的文化中心为游客和当地人提供了大量的私人参观。,True,
"On Saturday night after driving back from Houston, I started feeling a bit of a sore throat.","On Saturday night after driving back from Houston, I started feeling a bit of a sore throat and a headache.",星期六晚上，从休斯顿开车回来后，我开始感到喉咙有点痛。,星期六晚上，从休斯顿开车回来后，我开始感到喉咙痛和头痛。,True,
"Moonbase 8 is about three guys in what amounts to quarantine.""","Moonbase 8 is about three guys in what amounts to quarantine, which adds an unexpectedly small wrinkle.",月球基地8号是关于三个人进行隔离的。”,《月球基地8号》讲述的是三个人被隔离的故事，这意外地增加了一个小问题。,True,
"Fluid from a nasal swab or saliva goes on one end, then a vein appears.","Fluid from a nasal swab or saliva goes on one end, then a vein appears if you are positive.",鼻拭子的液体或唾液流到一端，然后出现静脉。,从鼻拭子或唾液流出的液体走在一端，如果呈阳性，就会出现静脉。,True,
European nations are reintroducing strict measures aimed at limiting the spread of the novel virus after infections and hospitalizations.,European nations are reintroducing strict measures aimed at limiting the spread of the novel virus after infections and hospitalizations because of COVID-19 deficiency.,欧洲国家正在重新采取严格措施，以限制新冠病毒在感染和住院后的传播。,欧洲国家正在重新引入严格的措施，旨在限制因COVID-19缺陷而感染和住院后这种新型病毒的传播。,,True
"Beyond says customers will be served its rendition as a ramen topping, and in dishes such as spaghetti and meatballs, spicy bolognaise.","Beyond says customers will be served its rendition as a ramen topping, and in dishes such as spaghetti and meatballs, spicy bolognaise, and biscuits and biscuits.",Beyond公司表示，顾客将会在拉面上品尝到这种辣酱，在意大利面、肉丸和辣肉酱等菜肴中也会品尝到这种辣酱。,Beyond公司表示，顾客将会在拉面、意大利面和肉丸、辣肉酱面、饼干和饼干等菜肴中享用到这种面条。,True,
"We just carry on and focus on the next game, the next day.","We just carry on and focus on the next game, the next day and that's what we're doing.",我们只是继续，专注于下一场比赛，第二天的比赛。,我们只是继续，专注于下一场比赛，这就是我们正在做的。,True,
The top science cities are those whose institutions collectively publish the most output in the 82 major journals.,The top science cities are those whose institutions collectively publish the most output in the 82 major journals recognized by the Nature Index.,顶尖科学城是指其科研机构在82种主要期刊上发表的文章最多的城市。,顶尖科学城是指其机构在自然指数认可的82种主要期刊上发表的文章最多的城市。,True,
"Some were fitted with EU plugs, and sold with a UK license to operate permanently, which reduced the risk.","Some were fitted with EU plugs, and sold with a UK license to operate permanently, which reduced the risk of an electrical shock or fire.",其中一些安装了欧盟插头，并获得了英国永久运营许可证，从而降低了风险。,其中一些配备了欧盟插头，并附有英国永久运行许可证，这降低了触电或火灾的风险。,,True
"Democratic presidential nominee Joe Biden attacked President Donald Trump's handling of the coronavirus pandemic on Thursday, as the two candidates held the televised town halls.","Democratic presidential nominee Joe Biden attacked President Donald Trump's handling of the coronavirus pandemic on Thursday, as the two candidates held the televised town halls after their second planned debate was canceled.",周四，民主党总统候选人乔·拜登在电视直播的市政厅举行演讲时，抨击了唐纳德·特朗普总统对冠状病毒大流行的处理方式。,周四，民主党总统候选人乔·拜登在计划中的第二次辩论被取消后举行了电视市政厅，抨击唐纳德·特朗普总统对冠状病毒大流行的处理方式。,True,
"Pattani launched its Puangmanee durian season on Thursday, with promotions designed to lure the lucrative Chinese market.","Pattani launched its Puangmanee durian season on Thursday, with promotions designed to lure the lucrative Chinese market for this unique variety of the pungent fruit.",周四，北大年推出了punangmanee榴莲季，旨在吸引利润丰厚的中国市场。,周四，北大年推出了Puangmanee榴莲季，促销活动旨在为这种独特的刺激性水果吸引利润丰厚的中国市场。,True,
"On that occasion, defending champions Mumbai were comfortable winners, securing a automatic passage to the final.","On that occasion, defending champions Mumbai were comfortable winners, securing a automatic passage to the final and qualifying Delhi to a second-chance meeting with Sunrisers.",在那次比赛中，卫冕冠军孟买队轻松获胜，自动进入决赛。,在那次比赛中，卫冕冠军孟买轻松获胜，确保了进入决赛的自动通道，并使德里有机会与太阳崛起队进行第二次会面。,True,
More urgent efforts are needed to boost security capacity while developing digital China so as to better address security challenges and economic uncertainties.,"More urgent efforts are needed to boost security capacity while developing digital China so as to better address security challenges and economic uncertainties, according to an industry report.",在建设数字中国的同时，需要更加迫切地提高安全能力，以更好地应对安全挑战和经济不确定性。,根据一份行业报告，在发展数字中国的同时，需要更紧迫的努力来提高安全能力，以更好地应对安全挑战和经济不确定性。,True,
"Illustrations for different reading styles, help readers of many ages better understand the content.","Illustrations for different reading styles, such as books and books, help readers of many ages better understand the content.",插图适合不同的阅读风格，帮助不同年龄段的读者更好地理解内容。,不同阅读风格的插图，如书和书，帮助不同年龄的读者更好地理解内容。,True,
"If they are positive before travelling, they will have to reschedule or cancel their flight, but will be required to rebook at a later date.","If they are positive before travelling, they will have to reschedule or cancel their flight, but will be required to rebook at a later date without a fee.",如果他们在旅行前呈阳性反应，他们将不得不重新安排或取消航班，但将被要求在晚些时候重新预订。,如果他们在旅行前检查结果呈阳性，他们将不得不重新安排或取消航班，但需要在以后免费重新预订。,True,
He joined Bravo Volunteer Ambulance as an emergency medical technician.,He joined Bravo Volunteer Ambulance as an emergency medical technician at a time when the ambulance was facing a shortage of crew.,他加入了Bravo志愿救护车，担任紧急医疗技术员。,他加入布拉沃志愿救护车担任紧急医疗技术员，当时救护车正面临人员短缺。,,
"Daniil Medvedev had just won the biggest title of his career, the best tournament of his life at the ATP level.","Daniil Medvedev had just won the biggest title of his career, the best tournament of his life at the ATP level, but did not celebrate.",丹尼尔·梅德韦杰夫刚刚赢得了他职业生涯中最大的冠军，这是他一生中在ATP级别上最好的比赛。,丹尼尔·梅德韦杰夫刚刚赢得了他职业生涯中最大的冠军，这是他在ATP级别上最好的比赛，但他没有庆祝。,True,
Coffee began to spread as a way for religious devotees to remain alert and active.,Coffee began to spread as a way for religious devotees to remain alert and active until the early hours of the morning.,咖啡开始成为宗教信徒保持警觉和活跃的一种方式。,咖啡开始传播开来，成为宗教信徒保持警觉和活跃的一种方式，直到凌晨。,True,
While Simon is happy that his passion has become a money-spinner.,"While Simon is happy that his passion has become a money-spinner, he did not expect the coronavirus outbreak to result in a windfall.",西蒙很高兴他的激情变成了摇钱树。,虽然西蒙很高兴他的激情成为了摇钱树，但他没想到冠状病毒的爆发会带来意外之财。,True,
We need to cater for the market that suits different tastes.,We need to cater for the market that suits different tastes and individual tastes for our Chinese guests.,我们需要迎合适合不同口味的市场。,我们需要迎合中国客人不同口味和个人口味的市场。,True,
Tourism players are counting on the holiday to make up for the loss caused by the game.,Tourism players are counting on the holiday to make up for the loss caused by the game and have adopted favorable policies to boost consumption.,旅游玩家们指望假期能弥补这场比赛造成的损失。,旅游从业者指望假期能弥补比赛造成的损失，并采取了优惠政策来刺激消费。,,True
I have great love and respect for Tom and for our children.,I have great love and respect for Tom and for our children and the lives we led together.,我非常爱和尊重汤姆和我们的孩子们。,我对汤姆、我们的孩子以及我们共同度过的生活充满了爱和尊重。,,True
But what makes this news significant is that it's been 15 years.,But what makes this news significant is that it's been 15 years since the heavy metal industry has dropped new songs.,但这个消息的意义在于，它已经过去了15年。,但这条新闻的重大意义在于，重金属行业已经有15年没有发布新歌了。,True,
The office prepared masks printed with international tourism logos for visitors.,"The office prepared masks printed with international tourism logos for visitors, and sterilized all the brochures.",该办公室为游客准备了印有国际旅游标志的面具。,该办公室为游客准备了印有国际旅游标志的口罩，并对所有宣传册进行了消毒。,,True
"The biggest draws include deserts, and riding, danxia landforms and historical sites.","The biggest draws include deserts, and riding, danxia landforms and historical sites along the old Silk road.",最吸引游客的地方包括沙漠、骑马、丹霞地貌和历史遗迹。,最吸引人的景点包括沙漠、骑马、丹霞地貌和古丝绸之路沿线的历史遗迹。,,True
Hundreds of thousands of these products could have been sold via the marketplaces.,"Hundreds of thousands of these products could have been sold via the marketplaces, it said.",成千上万的这些产品本可以通过市场出售。,报告称，成千上万的这些产品可能已经通过市场出售。,True,
