S_s,S_f,T_s,T_f,Limitation-A,Limitation-structure
"She had recently received an email from a friend , a single woman who confessed that she had spent months in dire economic straits.","She had recently received an invitation from a friend, a single woman who confessed that she had spent months in dire economic straits.",她最近收到了一个朋友的电子邮件，一个单身女性，她承认自己已经在可怕的经济困境中度过了几个月。,她最近收到了一位朋友的邀请，这位朋友是一位单身女性，她承认自己已经在可怕的经济困境中度过了几个月。,,
"It is important that learning is applied to planning for this winter , including what services can be delivered safely.","It is important that learning is applied to planning for this future, including what services can be delivered safely.",重要的是，将所学知识应用于今年冬季的规划，包括哪些服务可以安全地提供。,重要的是，将学习应用于对未来的规划，包括哪些服务可以安全地提供。,,
"He performed really well in the past camp , so that is a relief but we have got strength in depth.","He performed really well in the first camp, so that is a relief but we have got strength in depth.",他在过去的训练营中表现得非常好，所以这是一种解脱，但我们有深度的力量。,他在第一个训练营的表现非常好，所以这是一种解脱，但我们有深度的力量。,,
Dustin Johnson ' s record - breaking Masters victory owed plenty to soft November conditions but he also demonstrated qualities that make him close to the complete package as a player.,Dustin palmer' s record - breaking Masters victory owed plenty to soft November conditions but he also demonstrated qualities that make him close to the complete package as a player.,达斯汀·约翰逊打破大师赛纪录的胜利很大程度上要归功于11月的温和条件，但他也展示了使他接近作为一名球员的完整品质。,达斯汀·帕尔默打破大师赛纪录的胜利很大程度上要归功于11月的温和条件，但他也表现出了作为一名球员接近完整的素质。,True,
"A Chinese citizen , who worked at the same restaurant , was injured in the attack and is now in stable condition , the embassy said.","A syrian citizen, who worked at the same restaurant, was injured in the attack and is now in stable condition, the embassy said.",大使馆表示，在同一家餐厅工作的一名中国公民在袭击中受伤，目前情况稳定。,大使馆表示，在同一家餐厅工作的一名叙利亚公民在袭击中受伤，目前情况稳定。,,
Thousands of people have been prevented from paying with cash in recent months.,Thousands of people have been prevented from paying with friends in recent months.,近几个月来，数千人被禁止用现金支付。,最近几个月，成千上万的人被阻止与朋友付款。,,
"There is a medical team , made up of more than 10 professionals that is in constant contact with everyone.","There is a good team, made up of more than 10 professionals that is in constant contact with everyone.",这里有一个由10多名专业人员组成的医疗团队，他们与每个人都保持着不断的联系。,有一个很好的团队，由10多名专业人士组成，他们与每个人都保持着不断的联系。,True,
The report was put out by the African Union Development Agency and the African Development Bank after a study into the establishment of a continental electricity grid.,The project was put out by the African Union Development Agency and the African Development Bank after a study into the establishment of a continental electricity grid.,这份报告是由非洲联盟发展署和非洲开发银行在对建立大陆电网进行研究后发布的。,该项目是由非洲联盟开发署和非洲开发银行在对建立大陆电网进行研究后提出的。,,
"The months ahead will be challenging for you , so it is especially important that we discuss and coordinate our policies.","The go ahead will be challenging for you, so it is especially important that we discuss and coordinate our policies.",未来几个月对你们来说将是充满挑战的，因此我们讨论和协调我们的政策尤为重要。,未来的道路对你们来说充满挑战，因此我们讨论和协调政策尤为重要。,,
"The horse received immediate veterinary care , however he was able to be saved due to the nature of the injury sustained.","The horse received extensive veterinary care, however he was able to be saved due to the nature of the injury sustained.",这匹马立即接受了兽医的治疗，但由于受伤的性质，它得以获救。,这匹马接受了广泛的兽医治疗，但由于受伤的性质，它得以获救。,True,
"The guide contains eight chapters highlighting the importance of nutritional intake , nutritional support for those with tumors at different phases and receiving various treatment.","The cancer contains eight chapters highlighting the importance of nutritional intake, nutritional support for those with tumors at different phases and receiving various treatment.",该指南包含八个章节，强调了营养摄入的重要性，对不同阶段的肿瘤患者和接受不同治疗的患者的营养支持。,《癌症》共八章，强调了营养摄入的重要性，对不同阶段肿瘤患者和接受不同治疗的患者的营养支持。,,
The coronavirus comes amid mass cancellation of flights and businesses as new cases are being diagnosed around the world every day.,The everything comes amid mass cancellation of flights and businesses as new cases are being diagnosed around the world every day.,随着世界各地每天都有新确诊病例，大量航班和企业被取消，这种冠状病毒出现了。,这一切都发生在大量航班和企业取消的情况下，因为世界各地每天都有新病例被诊断出来。,True,
The EU recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,The greece recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,欧盟承认这片水域属于希腊，并表示在那里进行捕鱼、钻探和能源勘探是非法的。,希腊承认该水域属于希腊，并表示在该水域进行捕鱼、钻探和能源勘探是非法的。,,
He expressed appreciation for the organizers of the event for organizing the event in these challenging times.,He expressed respect for the organizers of the event for organizing the event in these challenging times.,他对活动的组织者表示感谢，感谢他们在这个充满挑战的时期组织这次活动。,他对活动的组织者表示敬意，因为他们在这个充满挑战的时代组织了这次活动。,,
"When many of her fellow dancers expressed their desire to learn more complicated routines , Chen organized them into a troupe.","When many of her own dancers expressed their desire to learn more complicated routines, Chen organized them into a troupe.",当她的许多舞蹈伙伴表示想要学习更复杂的舞蹈动作时，陈琳将他们组织成一个剧团。,当她自己的许多舞者表示想学习更复杂的舞蹈动作时，陈把他们组织成一个剧团。,,
"Using a cat teaser to simulate bird or tiny animal can let the cat enjoy the happiness of hunting , and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.","Using a film teaser to simulate bird or tiny animal can let the cat enjoy the happiness of hunting, and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.",用猫绳模拟小鸟或小动物，可以让猫享受狩猎的快乐，充分高质量的运动可以减少咬人或破坏家具的行为。,用电影预告片模拟小鸟或小动物可以让猫享受狩猎的快乐，充足高质量的运动可以减少咬人或破坏家具的行为。,,
The university was chosen to house the centre because it has a library for research into the disease.,The australia was chosen to house the centre because it has a library for research into the disease.,该中心被选在这所大学，因为它有一个研究这种疾病的图书馆。,该中心被选在澳大利亚，因为那里有一个研究该病的图书馆。,,
The bank said it was losing money on a large number of such accounts.,The others said it was losing money on a large number of such accounts.,该银行表示，大量此类账户正在亏损。,其他人则表示，该行在大量此类账户上亏损。,True,
People in the green area cannot conduct any close contact with those having credentials in other colors.,People in the same area cannot conduct any close contact with those having credentials in other colors.,绿色区域的人员不能与持有其他颜色证件的人员进行近距离接触。,同一地区的人员不能与持有其他颜色证件的人员进行密切接触。,,
"Over the period , the account picked up followers including what appeared to be older men.","Over the day, the account picked up followers including what appeared to be older men.",在此期间，该账号的粉丝越来越多，其中似乎包括一些年长的男性。,在这一天里，该账号的粉丝越来越多，其中似乎包括一些年长的男性。,,
It will not be released for use until it passes final safety testing and gets the go - ahead from the Medicines and Healthcare products Regulatory Agency.,It will not be released for children until it passes final safety testing and gets the go - ahead from the Medicines and Healthcare products Regulatory Agency.,在它通过最后的安全测试并获得药品和保健产品监管机构的批准之前，它不会被释放使用。,在通过最后的安全测试并获得药品和保健产品监管机构的批准之前，它不会对儿童发布。,,
"Hotels treating their few customers like royalty , not art galleries where solo guests stand nose - to - nose with renaissance art.","Hotels treating their own customers like royalty, not art galleries where solo guests stand nose - to - nose with renaissance art.",酒店像对待皇室一样对待他们为数不多的顾客，而不是像对待艺术画廊一样，让独自的客人与文艺复兴时期的艺术品面对面地站在一起。,酒店像对待皇室一样对待自己的顾客，而不是像对待艺术画廊一样，让独自的客人与文艺复兴时期的艺术品面对面地站在一起。,,
He could not produce all his power in the previous performances because he needed to save energy for the jumps.,He could not produce all his jumps in the previous performances because he needed to save energy for the jumps.,在之前的表演中，他不能把所有的力量都发挥出来，因为他需要为跳跃节省能量。,在之前的表演中，他无法完成所有的跳跃，因为他需要为跳跃节省能量。,,
"A freeze on public sector workers ' pay would damage the country ' s economic recovery , the shadow chancellor will warn in a speech on Monday.","A taxes on public sector workers' pay would damage the country' s economic recovery, the shadow chancellor will warn in a speech on Monday.",影子财政大臣将在周一的一次演讲中警告称，冻结公共部门员工的工资将损害英国的经济复苏。,影子财政大臣将在周一的一次演讲中警告称，对公共部门员工的工资征税将损害英国的经济复苏。,True,
The second album from sisters Chloe and Halle Bailey offers modern R & B at its most sleek and serene.,The new album from sisters Chloe and Halle Bailey offers modern R & B at its most sleek and serene.,克洛伊·贝利和哈雷·贝利姐妹的第二张专辑以最流畅和宁静的方式呈现了现代R & B。,克洛伊·贝利和哈雷·贝利姐妹的新专辑将现代R & B演绎得最流畅、最宁静。,True,
Saudi Arabia has rejected criticism after it was confirmed it would host its first Formula 1 race in 2021.,Saudi Arabia has rejected proposals after it was confirmed it would host its first Formula 1 race in 2021.,沙特阿拉伯在确认将在2021年举办第一场f1比赛后，驳斥了外界的批评。,沙特阿拉伯在确认将在2021年举办第一场f1比赛后，拒绝了一些提议。,,
"I ' ve played great this week and it was really hard to hold the emotions all the way to the end , but I ' m really happy the way it played out , and the way I played too.","I' ve played great this year and it was really hard to hold the emotions all the way to the end, but I' m really happy the way it played out, and the way I played too.",我这周打得很好，很难一直保持这种情绪直到比赛结束，但我真的很高兴比赛的结果，我也很开心。,今年我打得很好，很难一直保持这种情绪直到比赛结束，但我真的很高兴比赛的结果，我也很开心。,,
China Literature Corporate released a White Book of 2020 Chinese Online Literature Going Global during the First Shanghai International Online Literature Week.,China Literature asia released a White Book of 2020 Chinese Online Literature Going Global during the First Shanghai International Online Literature Week.,阅文集团在首届上海国际网络文学周期间发布了《2020年中国网络文学走向世界》白皮书。,首届上海国际网络文学周期间，阅文亚洲发布了《2020年中国网络文学走向世界》白皮书。,True,
President Donald Trump participated in head - to - head town halls Thursday night.,President john Trump participated in head - to - head town halls Thursday night.,唐纳德·特朗普总统周四晚上参加了市政厅的正面交锋。,周四晚上，总统约翰·特朗普参加了市政厅的正面交锋。,True,
