S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"The horse received immediate veterinary care, however he was not to be saved.","The horse received immediate veterinary care, however he was not to be saved due to the extent of the injury sustained.",这匹马立即接受了兽医护理，但他没有得救。,这匹马立即接受了兽医护理，但由于受伤的程度，他没有被拯救。,,
"She wanted to speak with someone, to ask questions, so she could have accurate information.","She wanted to speak with someone, to ask questions, so she could have accurate information because there were so many inaccuracies those first few days.",她想和某人交谈，提出问题，这样她就可以得到准确的信息。,她想和某人谈谈，问问题，这样她就可以得到准确的信息，因为头几天有很多不准确的地方。,,
Parents are driving the sales of the original English books and magazines as they find the readings not only effective science education but a way to learn English.,"Parents are driving the sales of the original English books and magazines as they find the readings not only effective science education but a way to learn English, according to Guo.",家长们正在推动原创英语书籍和杂志的销售，因为他们发现这些阅读材料不仅是有效的科学教育，而且是一种学习英语的方式。,郭说，家长们正在推动原始英语书籍和杂志的销售，因为他们发现这些阅读材料不仅是有效的科学教育，而且是一种学习英语的方式。,,
Opponents say dialing back government support too quickly will undermine the strength of the recovery.,Opponents say dialing back government support too quickly will undermine the strength of the recovery from the war.,反对者表示，过快地回拨政府支持将削弱复苏的实力。,反对者说，过快地回拨政府支持将削弱从战争中恢复的力量。,,
"At that medical center, doctors detected a blood clot the next day, caused by a trauma to the head.","At that medical center, doctors detected a blood clot the next day, caused by a trauma to the head, and took him to the Olivos Clinic.",在该医疗中心，医生第二天检测到由头部创伤引起的血凝块。,在那个医疗中心，医生第二天发现了由头部创伤引起的血块，并将他带到了奥利沃斯诊所。,,
He would describe the food as more aromatic than spicy.,"After living in Chengdu for six months, he would describe the food as more aromatic than spicy.",他会把食物描述为比辛辣更芳香。,在成都生活了六个月后，他形容食物比辛辣更香。,,
Experts are concerned that widespread belief in COVID-19 conspiracy theories could make these campaigns less effective.,Experts are concerned that widespread belief in COVID-19 conspiracy theories could make these campaigns less effective when they become available.,专家们担心，对COVID-19阴谋论的普遍信仰可能会降低这些活动的有效性。,专家们担心，对COVID-19阴谋论的普遍信念可能会使这些活动在可用时变得不那么有效。,,
Quibi won't be the last casualty of the world wars.,"Quibi won't be the last casualty of the world wars, as studios and other new technologies vie for consumers'time.",Quibi不会是世界大战的最后一个牺牲品。,Quibi不会成为世界大战的最后一个受害者，因为工作室和其他新技术都在争夺消费者的时间。,,
Mortgage payment holidays are being extended for homeowners.,Mortgage payment holidays are being extended for homeowners financially affected by the pandemic.,房主的抵押贷款支付假期正在延长。,受疫情经济影响的房主的抵押贷款还款假期正在延长。,,
"Luminaries such as scientists, writers, artists and thinkers tell the hardships and glories of a nation.","Luminaries such as scientists, writers, artists and thinkers tell the hardships and glories of a nation, and all together they shape the history.",科学家、作家、艺术家和思想家等名人讲述了一个国家的艰辛和荣耀。,科学家、作家、艺术家和思想家等杰出人物讲述了一个国家的艰辛和辉煌，他们共同塑造了历史。,,
It will not be released for use until it passes final safety tests and gets the benefit from the Medicines.,It will not be released for use until it passes final safety tests and gets the benefit from the Medicines and Healthcare products Regulatory Agency.,在通过最终安全测试并从药物中受益之前，它不会被释放使用。,在通过最终安全测试并从药品和保健产品监管机构获得好处之前，它不会被释放使用。,,
British Airways is to launch a voluntary Covid-19 test for passengers flying to the UK.,British Airways is to launch a voluntary Covid-19 test for passengers flying to the UK from three US cities.,英国航空公司将为飞往英国的乘客推出自愿的 Covid-19 测试。,英国航空公司将为从美国三个城市飞往英国的乘客启动自愿 Covid-19 测试。,,
"The EU started to co-ordinate the purchasing of personal protective equipment ( PPE ), and kits and ventilators.","The EU started to co-ordinate the purchasing of personal protective equipment ( PPE ), and kits and ventilators in February.",欧盟开始协调个人防护装备以及工具包和呼吸机的采购。,欧盟于2月开始协调个人防护装备以及套件和呼吸机的采购。,,
Scientists are locked in an ongoing battle to combat invasive alien species that threaten China's ecosystem.,"Scientists are locked in an ongoing battle to combat invasive alien species that threaten China's ecosystem, Li Yingxue reports.",科学家们陷入了一场持续不断的战斗，以对抗威胁中国生态系统的外来入侵物种。,据李映雪报道，科学家们陷入了一场持续不断的战斗，以打击威胁中国生态系统的外来入侵物种。,,
Nintendo has dreamed up a new way for Mario Kart fans to play.,Nintendo has dreamed up a new way for Mario Kart fans to play each other.,任天堂为马里奥赛车迷设想了一种新玩法。,任天堂为马里奥赛车迷们想出了一种新的相互游戏方式。,,
"With its eerie empty streets, dark history, colonial architecture and stunning seaside scenery, remote Cossack is an offbeat.","With its eerie empty streets, dark history, colonial architecture and stunning seaside scenery, remote Cossack is an offbeat but rewarding tourist attraction.",偏远的哥萨克拥有令人毛骨悚然的空旷街道、黑暗的历史、殖民时期的建筑和迷人的海滨风光，是一个另类。,偏远的哥萨克拥有令人毛骨悚然的空荡荡的街道、黑暗的历史、殖民时期的建筑和迷人的海滨风光，是一个另类但有益的旅游景点。,,
"The home appliances and the book, audio and video industries grabbed the second and third positions.","The home appliances and the book, audio and video industries grabbed the second and third positions on the chart.",家电和图书、音视频行业分列第二、第三。,家用电器和图书、音频和视频行业在图表上占据了第二和第三位。,,
